id,name,pc_class,age,sex,survived,sexcode
1,"Allen, Miss Elisabeth Walton",1,29,female,1,1
2,"Allison, Miss Helen Loraine",1,2,female,0,1
3,"Allison, Mr Hudson Joshua Creighton",1,30,male,0,0
4,"Allison, Mrs Hudson JC (Bessie Waldo Daniels)",1,25,female,0,1
5,"Allison, Master Hudson Trevor",1,0.92,male,1,0
6,"Anderson, Mr Harry",1,47,male,1,0
7,"Andrews, Miss Kornelia Theodosia",1,63,female,1,1
8,"Andrews, Mr Thomas, jr",1,39,male,0,0
9,"Appleton, Mrs Edward Dale (Charlotte Lamson)",1,58,female,1,1
10,"Artagaveytia, Mr Ramon",1,71,male,0,0
11,"Astor, Colonel John Jacob",1,47,male,0,0
12,"Astor, Mrs John Jacob (Madeleine Talmadge Force)",1,19,female,1,1
13,"Aubert, Mrs Leontine Pauline",1,NA,female,1,1
14,"Barkworth, Mr Algernon H",1,NA,male,1,0
15,"Baumann, Mr John D",1,NA,male,0,0
16,"Baxter, Mrs James (Helene DeLaudeniere Chaput)",1,50,female,1,1
17,"Baxter, Mr Quigg Edmond",1,24,male,0,0
18,"Beattie, Mr Thomson",1,36,male,0,0
19,"Beckwith, Mr Richard Leonard",1,37,male,1,0
20,"Beckwith, Mrs Richard Leonard (Sallie Monypeny)",1,47,female,1,1
21,"Behr, Mr Karl Howell",1,26,male,1,0
22,"Birnbaum, Mr Jakob",1,25,male,0,0
23,"Bishop, Mr Dickinson H",1,25,male,1,0
24,"Bishop, Mrs Dickinson H (Helen Walton)",1,19,female,1,1
25,"Bjornstrm-Steffansson, Mr Mauritz Hakan",1,28,male,1,0
26,"Blackwell, Mr Stephen Weart",1,45,male,0,0
27,"Blank, Mr Henry",1,39,male,1,0
28,"Bonnell, Miss Caroline",1,30,female,1,1
29,"Bonnell, Miss Elizabeth",1,58,female,1,1
30,"Borebank, Mr John James",1,NA,male,0,0
31,"Bowen, Miss Grace Scott",1,45,female,1,1
32,"Bowerman, Miss Elsie Edith",1,22,female,1,1
33,"Bradley, Mr George",1,NA,male,1,0
34,"Brady, Mr John Bertram",1,41,male,0,0
35,"Brandeis, Mr Emil",1,48,male,0,0
36,"Brewe, Dr Arthur Jackson",1,NA,male,0,0
37,"Brown, Mrs James Joseph (Margaret Molly"" Tobin)""",1,44,female,1,1
