driver_gender,driver_race,search_conducted,contraband_found,duration,stop_outcome,is_arrested,stop_time,driver_age,speeding_violations,other_violations,registration_plates_violations,moving_violations,cell_phone_violations,COUNT(id)
F,Asian,f,f,1-15 min,arrest,f,Afternoon,21 and under,f,t,f,f,f,2
F,Asian,f,f,1-15 min,arrest,f,Afternoon,21 and under,t,f,f,f,f,1
F,Asian,f,f,1-15 min,arrest,f,Afternoon,30-39,f,t,f,f,f,1
F,Asian,f,f,1-15 min,arrest,f,Late Evening,22-29,f,f,f,f,f,1
F,Asian,f,f,1-15 min,arrest,f,Late Evening,30-39,f,t,f,f,f,1
F,Asian,f,f,1-15 min,arrest,f,Late Evening,60 and over,t,f,f,f,f,1
F,Asian,f,f,1-15 min,arrest,f,Morning,22-29,f,f,f,f,f,1
F,Asian,f,f,1-15 min,arrest,f,Morning,22-29,t,f,f,f,f,1
F,Asian,f,f,1-15 min,arrest,f,Morning,30-39,f,t,f,f,f,1
F,Asian,f,f,1-15 min,arrest,f,Morning,40-49,f,t,f,f,f,1
F,Asian,f,f,1-15 min,arrest,f,Morning,50-59,f,t,f,f,f,1
F,Asian,f,f,1-15 min,arrest,t,Afternoon,30-39,f,t,f,f,f,1
F,Asian,f,f,1-15 min,arrest,t,Afternoon,30-39,t,f,f,f,f,1
F,Asian,f,f,1-15 min,arrest,t,Afternoon,40-49,f,f,f,f,t,1
F,Asian,f,f,1-15 min,arrest,t,Afternoon,50-59,t,f,f,f,f,1
F,Asian,f,f,1-15 min,arrest,t,Early Evening,30-39,t,f,f,f,f,1
F,Asian,f,f,1-15 min,arrest,t,Late Evening,21 and under,t,f,f,f,f,1
F,Asian,f,f,1-15 min,arrest,t,Late Evening,30-39,f,f,f,t,f,1
F,Asian,f,f,1-15 min,arrest,t,Late Evening,40-49,f,t,f,f,f,1
F,Asian,f,f,1-15 min,arrest,t,Morning,22-29,t,f,f,f,f,2
F,Asian,f,f,1-15 min,arrest,t,Morning,50-59,f,f,t,f,f,1
F,Asian,f,f,1-15 min,arrest,t,Morning,50-59,f,t,f,f,f,1
F,Asian,f,f,1-15 min,ticket,f,Afternoon,21 and under,f,f,f,f,f,3
F,Asian,f,f,1-15 min,ticket,f,Afternoon,21 and under,f,f,f,t,f,1
F,Asian,f,f,1-15 min,ticket,f,Afternoon,21 and under,f,f,t,f,f,2
F,Asian,f,f,1-15 min,ticket,f,Afternoon,21 and under,f,t,f,f,f,4
F,Asian,f,f,1-15 min,ticket,f,Afternoon,21 and under,t,f,f,f,f,10
F,Asian,f,f,1-15 min,ticket,f,Afternoon,22-29,f,f,f,f,f,1
F,Asian,f,f,1-15 min,ticket,f,Afternoon,22-29,f,f,f,f,t,2
F,Asian,f,f,1-15 min,ticket,f,Afternoon,22-29,f,f,f,t,f,3
F,Asian,f,f,1-15 min,ticket,f,Afternoon,22-29,f,f,t,f,f,8
F,Asian,f,f,1-15 min,ticket,f,Afternoon,22-29,f,t,f,f,f,18
F,Asian,f,f,1-15 min,ticket,f,Afternoon,22-29,t,f,f,f,f,30
F,Asian,f,f,1-15 min,ticket,f,Afternoon,30-39,f,f,f,f,f,2
F,Asian,f,f,1-15 min,ticket,f,Afternoon,30-39,f,f,f,f,t,3
F,Asian,f,f,1-15 min,ticket,f,Afternoon,30-39,f,f,f,t,f,6
F,Asian,f,f,1-15 min,ticket,f,Afternoon,30-39,f,f,t,f,f,5
F,Asian,f,f,1-15 min,ticket,f,Afternoon,30-39,f,t,f,f,f,16
F,Asian,f,f,1-15 min,ticket,f,Afternoon,30-39,t,f,f,f,f,27
F,Asian,f,f,1-15 min,ticket,f,Afternoon,40-49,f,f,f,f,f,5
F,Asian,f,f,1-15 min,ticket,f,Afternoon,40-49,f,f,f,f,t,4
F,Asian,f,f,1-15 min,ticket,f,Afternoon,40-49,f,f,f,t,f,5
F,Asian,f,f,1-15 min,ticket,f,Afternoon,40-49,f,t,f,f,f,27
F,Asian,f,f,1-15 min,ticket,f,Afternoon,40-49,t,f,f,f,f,20
F,Asian,f,f,1-15 min,ticket,f,Afternoon,50-59,f,f,f,f,f,1
F,Asian,f,f,1-15 min,ticket,f,Afternoon,50-59,f,f,f,f,t,4
F,Asian,f,f,1-15 min,ticket,f,Afternoon,50-59,f,f,f,t,f,3
F,Asian,f,f,1-15 min,ticket,f,Afternoon,50-59,f,f,t,f,f,1
F,Asian,f,f,1-15 min,ticket,f,Afternoon,50-59,f,t,f,f,f,12
F,Asian,f,f,1-15 min,ticket,f,Afternoon,50-59,t,f,f,f,f,11
F,Asian,f,f,1-15 min,ticket,f,Afternoon,60 and over,f,f,f,f,f,1
F,Asian,f,f,1-15 min,ticket,f,Afternoon,60 and over,f,f,f,f,t,1
F,Asian,f,f,1-15 min,ticket,f,Afternoon,60 and over,f,f,t,f,f,1
F,Asian,f,f,1-15 min,ticket,f,Afternoon,60 and over,f,t,f,f,f,6
F,Asian,f,f,1-15 min,ticket,f,Afternoon,60 and over,t,f,f,f,f,2
F,Asian,f,f,1-15 min,ticket,f,Early Evening,21 and under,f,f,f,f,t,1
F,Asian,f,f,1-15 min,ticket,f,Early Evening,21 and under,f,f,f,t,f,1
F,Asian,f,f,1-15 min,ticket,f,Early Evening,21 and under,f,f,t,f,f,2
F,Asian,f,f,1-15 min,ticket,f,Early Evening,21 and under,f,t,f,f,f,6
F,Asian,f,f,1-15 min,ticket,f,Early Evening,21 and under,t,f,f,f,f,9
F,Asian,f,f,1-15 min,ticket,f,Early Evening,22-29,f,f,f,f,f,3
F,Asian,f,f,1-15 min,ticket,f,Early Evening,22-29,f,f,f,f,t,2
F,Asian,f,f,1-15 min,ticket,f,Early Evening,22-29,f,f,f,t,f,5
F,Asian,f,f,1-15 min,ticket,f,Early Evening,22-29,f,f,t,f,f,2
F,Asian,f,f,1-15 min,ticket,f,Early Evening,22-29,f,t,f,f,f,13
F,Asian,f,f,1-15 min,ticket,f,Early Evening,22-29,t,f,f,f,f,16
F,Asian,f,f,1-15 min,ticket,f,Early Evening,30-39,f,f,f,f,f,5
F,Asian,f,f,1-15 min,ticket,f,Early Evening,30-39,f,f,f,f,t,2
F,Asian,f,f,1-15 min,ticket,f,Early Evening,30-39,f,f,t,f,f,1
F,Asian,f,f,1-15 min,ticket,f,Early Evening,30-39,f,t,f,f,f,11
F,Asian,f,f,1-15 min,ticket,f,Early Evening,30-39,t,f,f,f,f,12
F,Asian,f,f,1-15 min,ticket,f,Early Evening,40-49,f,f,f,f,f,1
F,Asian,f,f,1-15 min,ticket,f,Early Evening,40-49,f,f,f,t,f,3
F,Asian,f,f,1-15 min,ticket,f,Early Evening,40-49,f,f,t,f,f,5
F,Asian,f,f,1-15 min,ticket,f,Early Evening,40-49,f,t,f,f,f,8
F,Asian,f,f,1-15 min,ticket,f,Early Evening,40-49,t,f,f,f,f,9
F,Asian,f,f,1-15 min,ticket,f,Early Evening,50-59,f,f,f,f,f,4
F,Asian,f,f,1-15 min,ticket,f,Early Evening,50-59,f,f,f,t,f,2
F,Asian,f,f,1-15 min,ticket,f,Early Evening,50-59,f,f,t,f,f,1
F,Asian,f,f,1-15 min,ticket,f,Early Evening,50-59,f,t,f,f,f,6
